model,num_host,num_vuln,topology,distro_vuln,diversity_vuln,generation_time
TVA,25,150,lan50,uniform,0,0.38166880002245307
TVA,25,150,mesh,uniform,1,12.288906400091946
TVA,25,200,mesh,uniform,0,0.9301126999780536
TVA,25,150,lan25,uniform,1,6.441975299967453
TVA,25,200,random,uniform,0,0.40195490000769496
TVA,25,150,lan50,uniform,1,5.752099100034684
TVA,25,200,star,uniform,0,0.15546120004728436
TVA,25,200,star,uniform,1,1.9212839000392705
TVA,25,200,ring,uniform,0,0.15883599990047514
TVA,25,200,ring,uniform,1,1.9015291000250727
TVA,25,200,tree,uniform,0,0.1252986998297274
TVA,25,200,tree,uniform,1,1.976152100134641
TVA,25,200,powerlaw,uniform,0,0.40229900018312037
TVA,25,200,random,uniform,1,8.631514099892229
TVA,25,200,lan0,uniform,0,0.40395530010573566
TVA,25,200,powerlaw,uniform,1,9.017200600123033
TVA,25,200,lan25,uniform,0,0.6022220000158995
TVA,25,200,lan0,uniform,1,9.251394799910486
TVA,25,200,lan50,uniform,0,0.4165431000292301
TVA,25,200,mesh,uniform,1,25.651729399804026
TVA,50,10,mesh,uniform,0,0.09665649989619851
TVA,50,10,mesh,uniform,1,0.685114499880001
TVA,50,10,random,uniform,0,0.03815379994921386
TVA,50,10,random,uniform,1,0.30160080012865365
TVA,50,10,star,uniform,0,0.024245900101959705
TVA,50,10,star,uniform,1,0.10568549996241927
TVA,50,10,ring,uniform,0,0.028805300127714872
TVA,50,10,ring,uniform,1,0.09407049999572337
TVA,50,10,tree,uniform,0,0.02254839986562729
TVA,50,10,tree,uniform,1,0.08552439999766648
TVA,50,10,powerlaw,uniform,0,0.036522099981084466
TVA,50,10,powerlaw,uniform,1,0.31568210013210773
TVA,50,10,lan0,uniform,0,0.04860560013912618
TVA,50,10,lan0,uniform,1,0.36452229996211827
TVA,50,10,lan25,uniform,0,0.06363380001857877
TVA,50,10,lan25,uniform,1,0.35380759998224676
TVA,50,10,lan50,uniform,0,0.045633300207555294
TVA,50,10,lan50,uniform,1,0.26651070010848343
TVA,50,25,mesh,uniform,0,0.28078469983302057
TVA,25,200,lan25,uniform,1,9.887590800179169
TVA,50,25,random,uniform,0,0.10752559988759458
TVA,50,25,random,uniform,1,1.0799800001550466
TVA,50,25,star,uniform,0,0.02318379981443286
TVA,50,25,star,uniform,1,0.2674546998459846
TVA,50,25,ring,uniform,0,0.041288299951702356
TVA,50,25,ring,uniform,1,0.24576239986345172
TVA,50,25,tree,uniform,0,0.025879699969664216
TVA,50,25,tree,uniform,1,0.2998436000198126
TVA,50,25,powerlaw,uniform,0,0.07367289997637272
TVA,25,200,lan50,uniform,1,9.784159200033173
TVA,50,25,lan0,uniform,0,0.14483279990963638
TVA,50,25,mesh,uniform,1,2.8731614998541772
TVA,50,25,lan25,uniform,0,0.14701849990524352
TVA,50,25,powerlaw,uniform,1,1.2165262000635266
TVA,50,25,lan50,uniform,0,0.17840730003081262
TVA,50,25,lan0,uniform,1,1.4621654998045415
TVA,50,25,lan25,uniform,1,1.4287527999840677
TVA,50,50,mesh,uniform,0,0.538569699972868
TVA,50,50,random,uniform,0,0.1623319999780506
TVA,50,25,lan50,uniform,1,1.303050500107929
TVA,50,50,star,uniform,0,0.053615299984812737
TVA,50,50,star,uniform,1,0.5264894999563694
TVA,50,50,ring,uniform,0,0.04880420002155006
TVA,50,50,ring,uniform,1,0.7106277998536825
TVA,50,50,tree,uniform,0,0.047591400099918246
TVA,50,50,tree,uniform,1,0.7957965999376029
TVA,50,50,powerlaw,uniform,0,0.18172799982130527
TVA,50,50,random,uniform,1,3.3593037000391632
TVA,50,50,lan0,uniform,0,0.28635849989950657
TVA,50,50,powerlaw,uniform,1,4.44147860002704
TVA,50,50,lan25,uniform,0,0.3775570997968316
TVA,50,50,lan0,uniform,1,5.455026600044221
TVA,50,50,lan50,uniform,0,0.25943009997718036
TVA,50,50,mesh,uniform,1,11.48487520008348
TVA,50,75,mesh,uniform,0,0.8961324000265449
TVA,50,50,lan25,uniform,1,5.785811700159684
TVA,50,75,random,uniform,0,0.28888459992595017
TVA,50,50,lan50,uniform,1,5.2625380998943
TVA,50,75,star,uniform,0,0.06814820016734302
TVA,50,75,star,uniform,1,1.1782444999553263
TVA,50,75,ring,uniform,0,0.10909450007602572
TVA,50,75,ring,uniform,1,1.2322553000412881
TVA,50,75,tree,uniform,0,0.08900929987430573
TVA,50,75,tree,uniform,1,1.4402143000625074
TVA,50,75,powerlaw,uniform,0,0.23866789997555315
TVA,50,75,random,uniform,1,9.44283360010013
TVA,50,75,lan0,uniform,0,0.4788776000496
TVA,50,75,powerlaw,uniform,1,11.073756800033152
TVA,50,75,lan25,uniform,0,0.5357113000936806
TVA,50,75,lan0,uniform,1,12.38878530007787
TVA,50,75,lan50,uniform,0,0.4592462999280542
TVA,50,75,mesh,uniform,1,27.259849400026724
TVA,50,100,mesh,uniform,0,1.2093563999515027
TVA,50,75,lan25,uniform,1,14.036494700005278
TVA,50,100,random,uniform,0,0.3677523999940604
TVA,50,75,lan50,uniform,1,11.417577899992466
TVA,50,100,star,uniform,0,0.1297708998899907
TVA,50,100,star,uniform,1,1.7181775998324156
TVA,50,100,ring,uniform,0,0.1362427999265492
TVA,50,100,ring,uniform,1,1.8455567001365125
TVA,50,100,tree,uniform,0,0.09275409998372197
TVA,50,100,tree,uniform,1,1.8754441998898983
TVA,50,100,powerlaw,uniform,0,0.3450590001884848
TVA,50,100,random,uniform,1,17.25759769999422
TVA,50,100,lan0,uniform,0,0.7280866999644786
TVA,50,100,powerlaw,uniform,1,17.663143400102854
TVA,50,100,lan25,uniform,0,0.7582058999687433
TVA,50,100,lan0,uniform,1,22.479497499996796
TVA,50,100,lan50,uniform,0,0.5416085999459028
TVA,50,100,mesh,uniform,1,48.52940100012347
TVA,50,150,mesh,uniform,0,2.633964299922809
TVA,50,100,lan25,uniform,1,22.408690799959004
TVA,50,150,random,uniform,0,0.6915073001291603
TVA,50,100,lan50,uniform,1,20.84644310013391
TVA,50,150,star,uniform,0,0.1373882000334561
TVA,50,150,star,uniform,1,3.922068400075659
TVA,50,150,ring,uniform,0,0.20361190009862185
TVA,50,150,ring,uniform,1,3.7328873998485506
TVA,50,150,tree,uniform,0,0.21332610002718866
TVA,50,150,tree,uniform,1,3.7911544998642057
TVA,50,150,powerlaw,uniform,0,0.771770500112325
TVA,50,150,random,uniform,1,34.349139699945226
TVA,50,150,lan0,uniform,0,1.1566291998606175
TVA,50,150,powerlaw,uniform,1,41.57500130007975
TVA,50,150,lan25,uniform,0,1.5276991999708116
TVA,50,150,lan0,uniform,1,46.78805960016325
TVA,50,150,lan50,uniform,0,1.1707625000271946
TVA,50,150,mesh,uniform,1,111.88255589990877
TVA,50,200,mesh,uniform,0,4.019198099849746
TVA,50,150,lan25,uniform,1,56.29898469988257
TVA,50,200,random,uniform,0,1.3399806001689285
TVA,50,150,lan50,uniform,1,48.77021549991332
TVA,50,200,star,uniform,0,0.18865970009937882
TVA,50,200,star,uniform,1,6.572617600206286
TVA,50,200,ring,uniform,0,0.26689800014719367
TVA,50,200,ring,uniform,1,6.452323299832642
TVA,50,200,tree,uniform,0,0.1982847999315709
TVA,50,200,tree,uniform,1,10.457281399983913
TVA,50,200,powerlaw,uniform,0,1.1514602000825107
TVA,50,200,random,uniform,1,63.71218049991876
TVA,50,200,lan0,uniform,0,1.558639199938625
TVA,50,200,powerlaw,uniform,1,65.73940319987014
TVA,50,200,lan25,uniform,0,1.6925040998030454
TVA,50,200,lan0,uniform,1,74.48462460003793
TVA,50,200,lan50,uniform,0,1.7192281999159604
TVA,50,200,mesh,uniform,1,209.33097400004044
TVA,100,10,mesh,uniform,0,0.4172555000986904
TVA,50,200,lan25,uniform,1,97.91754939989187
TVA,100,10,random,uniform,0,0.17935890005901456
TVA,100,10,random,uniform,1,1.1805416999850422
TVA,100,10,star,uniform,0,0.02456950000487268
TVA,100,10,star,uniform,1,0.22649069991894066
TVA,100,10,ring,uniform,0,0.04599680006504059
TVA,100,10,ring,uniform,1,0.2998679999727756
TVA,100,10,tree,uniform,0,0.029155700001865625
TVA,100,10,tree,uniform,1,0.24861020012758672
TVA,100,10,powerlaw,uniform,0,0.13515349989756942
TVA,100,10,mesh,uniform,1,4.208737199893221
TVA,100,10,lan0,uniform,0,0.18975829984992743
TVA,100,10,powerlaw,uniform,1,1.344459499930963
TVA,100,10,lan25,uniform,0,0.23207619995810091
TVA,100,10,lan0,uniform,1,1.902922899927944
TVA,100,10,lan50,uniform,0,0.17558529996313155
TVA,100,10,lan25,uniform,1,1.9968759000767022
TVA,100,25,mesh,uniform,0,0.9166413000784814
TVA,100,10,lan50,uniform,1,1.8876642999239266
TVA,100,25,random,uniform,0,0.2876112998928875
TVA,100,25,random,uniform,1,7.542840600013733
TVA,100,25,star,uniform,0,0.043675800086930394
TVA,100,25,star,uniform,1,0.6194238001480699
TVA,100,25,ring,uniform,0,0.05073249991983175
TVA,100,25,ring,uniform,1,0.7525271999184042
TVA,100,25,tree,uniform,0,0.06066710012964904
TVA,100,25,tree,uniform,1,0.7544680000282824
TVA,100,25,powerlaw,uniform,0,0.3070583001244813
TVA,100,25,powerlaw,uniform,1,8.433954700129107
TVA,100,25,lan0,uniform,0,0.4561785999685526
TVA,50,200,lan50,uniform,1,84.77243379992433
TVA,100,25,lan25,uniform,0,0.5603221000637859
TVA,100,25,mesh,uniform,1,22.515758899971843
TVA,100,25,lan50,uniform,0,0.5105850999243557
TVA,100,25,lan0,uniform,1,11.246820600004867
TVA,100,50,mesh,uniform,0,2.222069399897009
TVA,100,25,lan25,uniform,1,11.10359949991107
TVA,100,50,random,uniform,0,0.6055575001519173
TVA,100,25,lan50,uniform,1,10.869849900016561
TVA,100,50,star,uniform,0,0.07259169989265501
TVA,100,50,star,uniform,1,1.5729990999680012
TVA,100,50,ring,uniform,0,0.13540740008465946
TVA,100,50,ring,uniform,1,1.7540015999693424
TVA,100,50,tree,uniform,0,0.06697620009072125
TVA,100,50,tree,uniform,1,1.9348628998268396
TVA,100,50,powerlaw,uniform,0,0.7256058000493795
TVA,100,50,random,uniform,1,31.24578269990161
TVA,100,50,lan0,uniform,0,1.0800619998481125
TVA,100,50,powerlaw,uniform,1,35.44460519985296
TVA,100,50,lan25,uniform,0,1.0741169000975788
TVA,100,50,lan0,uniform,1,43.86418219981715
TVA,100,50,lan50,uniform,0,1.1087529000360519
TVA,100,50,lan25,uniform,1,49.447287699906155
TVA,100,75,mesh,uniform,0,3.718726299935952
TVA,100,50,mesh,uniform,1,100.48711200011894
TVA,100,75,random,uniform,0,1.0070148000959307
TVA,100,50,lan50,uniform,1,45.67945450008847
TVA,100,75,star,uniform,0,0.14409770001657307
TVA,100,75,star,uniform,1,3.337539700092748
TVA,100,75,ring,uniform,0,0.19845779985189438
TVA,100,75,ring,uniform,1,3.690920799970627
TVA,100,75,tree,uniform,0,0.17662739986553788
TVA,100,75,tree,uniform,1,3.7421178000513464
TVA,100,75,powerlaw,uniform,0,0.986999100074172
TVA,100,75,random,uniform,1,77.82668800000101
TVA,100,75,lan0,uniform,0,2.203145500039682
TVA,100,75,powerlaw,uniform,1,81.21818790002726
TVA,100,75,lan25,uniform,0,2.2857560999691486
TVA,100,75,lan0,uniform,1,98.32614029990509
TVA,100,75,lan50,uniform,0,1.5442107000853866
TVA,100,75,lan25,uniform,1,112.70905119995587
TVA,100,75,mesh,uniform,1,237.7843305999413
TVA,100,100,mesh,uniform,0,5.70564019982703
TVA,100,100,random,uniform,0,1.4386402000673115
TVA,100,75,lan50,uniform,1,86.09467780007981
TVA,100,100,star,uniform,0,0.12600810010917485
TVA,100,100,star,uniform,1,6.1272190001327544
TVA,100,100,ring,uniform,0,0.20857579982839525
TVA,100,100,ring,uniform,1,6.325368199963123
TVA,100,100,tree,uniform,0,0.17857229989022017
TVA,100,100,tree,uniform,1,7.90510159987025
