model,num_host,num_vuln,topology,distro_vuln,diversity_vuln,tot_time,avg_generation_time,min_generation_time,max_generation_time,avg_merging_time,min_merging_time,max_merging_time,clustering_time,num_clusters
DISTRO,100,25,ring,uniform,0,0.30638365424238145,0.015363211821143826,3.2602110877633095e-05,0.0460181231610477,0.0,0,0,0.26036553108133376,1
DISTRO,10,25,star,bernoulli,0.5,0.19003720302134752,0.002485160327826937,0.000489372992888093,0.004014086909592152,0.0036790790424371758,0,0.017829417251050472,0.1681936988607049,3
DISTRO,25,25,lan50,bernoulli,0,0.5048024621792138,0.04844303304950396,0.00010283803567290306,0.14333669003099203,0.028716859679358702,0,0.09531558607704937,0.26615018607117236,3
DISTRO,50,10,star,binomial,1,0.2530199442990124,0.014903464665015539,0.0028704048600047827,0.021595952101051807,0.0056101233543207245,0,0.024434082210063934,0.20698990998789668,3
DISTRO,50,10,random,binomial,0.25,0.4496041259262711,0.02753854962065816,0.0018944928888231516,0.05878592096269131,0.06938517035450786,0.015484882052987814,0.22984891897067428,0.1609692859929055,3
DISTRO,150,75,tree,poisson,0,0.4954886077903211,0.07649407302960753,0.002246071118861437,0.15140479593537748,0.07494815411822249,0,0.1716453528497368,0.17243845900520682,3
DISTRO,10,100,lan0,bernoulli,1,2.1024489279370755,0.6759993290373435,0.04633418098092079,1.7778739100322127,0.1242534543465202,0.09428808093070984,0.16653230087831616,0.1580427170265466,3
DISTRO,25,75,lan0,binomial,0.25,2.819068218348548,0.1541078413526217,0.04623467498458922,0.28900141711346805,0.6443738758098334,0.2350695668719709,2.3851363321300596,0.14493046910502017,3
DISTRO,250,10,star,uniform,1,1.486480848863721,0.22144135762937367,0.0309203730430454,0.5752608708571643,0.1299610931891948,0,0.7317465951200575,0.17947338288649917,3
DISTRO,100,10,star,poisson,0.75,3.7765193537343293,0.032933312778671585,0.0006548832170665264,0.054488847963511944,0.6009053162997589,0,3.559222500771284,0.1628080049995333,3
DISTRO,75,50,star,bernoulli,0.5,0.8367991030681878,0.14935307336660722,0.02436502603814006,0.31930937501601875,0.06332483507382373,0,0.34009907324798405,0.17739065480418503,3
DISTRO,100,50,mesh,uniform,0,6.412212815135717,2.0581502726611993,0.0035722951870411634,6.167128206929192,0.0,0,0,0.24508460820652544,1
DISTRO,50,150,lan0,poisson,0,6.152482738951221,1.0740955115761608,0.05626001302152872,3.064941434888169,1.6314959919933851,0.17113345279358327,2.835179707966745,0.25236159609630704,3
DISTRO,10,200,lan0,bernoulli,0,0.38867802103050053,0.06488649973956247,0.01948804105632007,0.08881972101517022,0.11019146360922605,0.09245259407907724,0.13928160700015724,0.16057669301517308,3
DISTRO,25,25,random,bernoulli,0,0.059315928258001804,0.009385942093407115,0.0007975101470947266,0.021132555091753602,0.014990580578645071,0,0.03474970208480954,0.0034336710814386606,3
DISTRO,10,5,tree,uniform,0.25,0.2027995022945106,0.0007062809697041909,1.0818010196089745e-05,0.001463569002225995,0.003780843884063264,0,0.017705782083794475,0.18363015120849013,3
DISTRO,10,75,lan50,poisson,0,0.1369956659618765,0.01048216293565929,1.7459969967603683e-05,0.02596274297684431,0.03646259650122374,0.03520694701001048,0.037718245992437005,0.0733146769925952,2
DISTRO,50,10,powerlaw,binomial,0.75,0.43341473932377994,0.08635156376597782,0.01004077703692019,0.13315694709308445,0.13356458873022348,0.04591532307676971,0.28704997012391686,0.013207822106778622,3
DISTRO,150,10,tree,poisson,1,0.27558071608655155,0.08843351039104164,0.031037711072713137,0.19848621310666203,0.03795145401575913,0,0.07337812311016023,0.0037163798697292805,3
DISTRO,25,100,ring,bernoulli,0,0.10497293691150844,0.02532403264194727,0.0007203889545053244,0.0653084369841963,0.01101087542095532,0,0.03614558489061892,0.0035189150366932154,3
DISTRO,100,75,tree,binomial,0.25,2.3514347102027386,0.1871873336688926,0.10787284094840288,0.22834236500784755,0.49450747719189775,0,2.1181034131441265,0.004988932050764561,3
DISTRO,25,100,tree,binomial,1,0.9818533018697053,0.26731898332946,1.7279060557484627e-05,0.801910632988438,0.039549140337233744,0,0.16580990701913834,0.014132761862128973,3
DISTRO,25,500,star,poisson,0.75,25.452161983121186,4.267586409347132,2.7510803192853928e-05,12.231787871103734,2.2674403625229993,0,13.028273992007598,0.19210012000985444,3
DISTRO,50,50,random,binomial,0.25,4.162892495747656,0.3087621442973614,0.030990177066996694,0.7336081948596984,0.849681671281966,0.07739589805714786,3.2394396730232984,0.18984462786465883,3
DISTRO,50,100,lan0,binomial,0.25,10.149539943085983,1.5405315540265292,0.12316244305111468,3.4888433390296996,3.5434930390135073,1.1385495499707758,6.645474683959037,0.015221920097246766,3
DISTRO,100,500,random,uniform,0,56.06645228900015,18.62080900037351,0.0007914099842309952,55.86072095599957,0.0,0,0,0.20573133300058544,1
DISTRO,100,100,ring,bernoulli,0.75,6.719538502860814,3.255756577088808,0.10949230706319213,5.543429997051135,0.46539287513587624,0,1.1646951388102025,0.011413366999477148,3
DISTRO,50,1000,lan50,uniform,0,95.67104626283981,31.827259382310633,0.0003351038321852684,95.48105296399444,0.0,0,0,0.18999329884536564,1
DISTRO,75,500,star,poisson,0.25,15.412697189254686,4.3825744217416895,0.40120540908537805,8.907601873157546,1.194814776497272,0,6.239066423149779,0.2660288929473609,3
DISTRO,50,75,lan0,bernoulli,1,37.05391965294257,9.214930329238996,3.718377242796123,18.061365203000605,14.852666692109779,10.049943565856665,18.840353175764903,0.15220127417705953,3
